Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,Unnamed: 6
"05:56:14AM Feb 7, 2022",97,78,0,0,0,
"05:56:18AM Feb 7, 2022",97,74,0,0,0,
"05:56:22AM Feb 7, 2022",97,69,0,0,0,
"05:56:26AM Feb 7, 2022",97,69,0,0,0,
"05:56:30AM Feb 7, 2022",97,74,0,0,0,
"05:56:34AM Feb 7, 2022",97,71,0,0,0,
"05:56:38AM Feb 7, 2022",97,65,0,0,0,
"05:56:42AM Feb 7, 2022",96,70,0,0,0,
"05:56:46AM Feb 7, 2022",96,73,0,0,0,
"05:56:50AM Feb 7, 2022",96,73,0,0,0,
"05:56:54AM Feb 7, 2022",96,64,0,0,0,
"05:56:58AM Feb 7, 2022",96,68,0,0,0,
"05:57:02AM Feb 7, 2022",97,82,0,0,0,
"05:57:06AM Feb 7, 2022",96,88,0,0,0,
"05:57:10AM Feb 7, 2022",96,85,0,0,0,
"05:57:14AM Feb 7, 2022",96,75,0,0,0,
"05:57:18AM Feb 7, 2022",96,73,0,0,0,
"05:57:22AM Feb 7, 2022",97,72,0,0,0,
"05:57:26AM Feb 7, 2022",97,71,0,0,0,
"05:57:30AM Feb 7, 2022",97,72,0,0,0,
"05:57:34AM Feb 7, 2022",97,69,0,0,0,
"05:57:38AM Feb 7, 2022",97,67,0,0,0,
"05:57:42AM Feb 7, 2022",97,67,0,0,0,
"05:57:46AM Feb 7, 2022",97,70,0,0,0,
"05:57:50AM Feb 7, 2022",97,71,0,0,0,
"05:57:54AM Feb 7, 2022",97,74,0,0,0,
"05:57:58AM Feb 7, 2022",97,74,0,0,0,
"05:58:02AM Feb 7, 2022",96,72,0,0,0,
"05:58:06AM Feb 7, 2022",96,71,0,0,0,
"05:58:10AM Feb 7, 2022",97,74,0,0,0,
"05:58:14AM Feb 7, 2022",97,75,0,0,0,
"05:58:18AM Feb 7, 2022",97,74,0,0,0,
"05:58:22AM Feb 7, 2022",97,75,0,0,0,
"05:58:26AM Feb 7, 2022",96,76,0,0,0,
"05:58:30AM Feb 7, 2022",96,72,0,0,0,
"05:58:34AM Feb 7, 2022",96,70,0,0,0,
"05:58:38AM Feb 7, 2022",97,66,0,0,0,
"05:58:42AM Feb 7, 2022",97,71,0,0,0,
"05:58:46AM Feb 7, 2022",97,72,0,0,0,
"05:58:50AM Feb 7, 2022",97,70,0,0,0,
"05:58:54AM Feb 7, 2022",97,73,0,0,0,
"05:58:58AM Feb 7, 2022",97,72,0,0,0,
"05:59:02AM Feb 7, 2022",97,76,0,0,0,
"05:59:06AM Feb 7, 2022",97,74,0,0,0,
"05:59:10AM Feb 7, 2022",96,79,0,0,0,
"05:59:14AM Feb 7, 2022",96,72,0,0,0,
"05:59:18AM Feb 7, 2022",96,65,0,0,0,
"05:59:22AM Feb 7, 2022",96,74,0,0,0,
"05:59:26AM Feb 7, 2022",96,72,0,0,0,
"05:59:30AM Feb 7, 2022",97,73,0,0,0,
"05:59:34AM Feb 7, 2022",97,72,0,0,0,
"05:59:38AM Feb 7, 2022",97,69,0,0,0,
"05:59:42AM Feb 7, 2022",97,70,0,0,0,
"05:59:46AM Feb 7, 2022",97,73,0,0,0,
"05:59:50AM Feb 7, 2022",97,75,0,0,0,
"05:59:54AM Feb 7, 2022",97,72,0,0,0,
"05:59:58AM Feb 7, 2022",97,76,0,0,0,
"06:00:02AM Feb 7, 2022",97,77,0,0,0,
"06:00:06AM Feb 7, 2022",96,73,0,0,0,
"06:00:10AM Feb 7, 2022",96,68,0,0,0,
"06:00:14AM Feb 7, 2022",97,67,0,0,0,
"06:00:18AM Feb 7, 2022",96,69,0,0,0,
"06:00:22AM Feb 7, 2022",96,67,0,0,0,
"06:00:26AM Feb 7, 2022",96,70,0,0,0,
"06:00:30AM Feb 7, 2022",96,74,0,0,0,
"06:00:34AM Feb 7, 2022",96,75,0,0,0,
"06:00:38AM Feb 7, 2022",97,79,0,0,0,
"06:00:42AM Feb 7, 2022",97,71,0,0,0,
"06:00:46AM Feb 7, 2022",97,74,0,0,0,
"06:00:50AM Feb 7, 2022",97,78,0,0,0,
"06:00:54AM Feb 7, 2022",97,68,0,0,0,
"06:00:58AM Feb 7, 2022",97,71,0,0,0,
"06:01:02AM Feb 7, 2022",97,73,0,0,0,
"06:01:06AM Feb 7, 2022",96,72,0,0,0,
"06:01:10AM Feb 7, 2022",96,75,0,0,0,
"06:01:14AM Feb 7, 2022",96,75,0,0,0,
"06:01:18AM Feb 7, 2022",97,72,0,0,0,
"06:01:22AM Feb 7, 2022",97,72,0,0,0,
"06:01:26AM Feb 7, 2022",97,74,0,0,0,
"06:01:30AM Feb 7, 2022",97,71,0,0,0,
"06:01:34AM Feb 7, 2022",97,70,0,0,0,
"06:01:38AM Feb 7, 2022",97,72,0,0,0,
